path,size
numpy/_pyinstaller/hook-numpy.py,1393
numpy/_typing/__init__.py,4941
numpy/_typing/_add_docstring.py,3995
numpy/_typing/_array_like.py,5155
numpy/_typing/_callable.pyi,12513
numpy/_typing/_char_codes.py,8724
numpy/_typing/_dtype_like.py,5964
numpy/_typing/_extended_precision.py,777
numpy/_typing/_nbit.py,632
numpy/_typing/_nbit_base.py,2880
numpy/_typing/_nested_sequence.py,2608
numpy/_typing/_scalars.py,1031
numpy/_typing/_shape.py,231
numpy/_typing/_ufunc.py,153
numpy/_typing/_ufunc.pyi,24603
numpy/_utils/__init__.py,3224
numpy/_utils/_convertions.py,329
numpy/_utils/_inspect.py,7435
numpy/_utils/_pep440.py,14069
numpy/char/__init__.py,93
numpy/char/__init__.pyi,1539
numpy/compat/__init__.py,727
numpy/compat/py3k.py,3803
numpy/core/__init__.py,1275
numpy/core/__init__.pyi,0
numpy/core/_dtype.py,322
numpy/core/_dtype_ctypes.py,350
numpy/core/_internal.py,947
numpy/core/_multiarray_umath.py,2096
numpy/core/_utils.py,923
numpy/core/arrayprint.py,338
numpy/core/defchararray.py,346
numpy/core/einsumfunc.py,338
numpy/core/fromnumeric.py,342
numpy/core/function_base.py,350
numpy/core/getlimits.py,334
numpy/core/multiarray.py,792
numpy/core/numeric.py,359
numpy/core/numerictypes.py,346
numpy/core/overrides.py,334
numpy/core/records.py,326
numpy/core/shape_base.py,338
numpy/core/umath.py,318
numpy/distutils/__init__.py,2074
numpy/distutils/__init__.pyi,119
numpy/distutils/_shell_utils.py,2538
numpy/distutils/armccompiler.py,962
numpy/distutils/ccompiler.py,28690
numpy/distutils/ccompiler_opt.py,100396
numpy/distutils/conv_template.py,9536
numpy/distutils/core.py,8173
numpy/distutils/cpuinfo.py,22639
numpy/distutils/exec_command.py,10282
numpy/distutils/extension.py,3460
numpy/distutils/from_template.py,7913
numpy/distutils/fujitsuccompiler.py,834
numpy/distutils/intelccompiler.py,4022
numpy/distutils/lib2def.py,3630
numpy/distutils/line_endings.py,2032
numpy/distutils/log.py,2879
numpy/distutils/mingw32ccompiler.py,22151
numpy/distutils/misc_util.py,89239
numpy/distutils/msvc9compiler.py,2192
numpy/distutils/msvccompiler.py,2647
numpy/distutils/npy_pkg_config.py,13018
numpy/distutils/numpy_distribution.py,634
numpy/distutils/pathccompiler.py,713
numpy/distutils/system_info.py,113927
numpy/distutils/unixccompiler.py,5426
numpy/doc/ufuncs.py,5414
numpy/f2py/__init__.py,2526
numpy/f2py/__init__.pyi,1092
numpy/f2py/__main__.py,130
numpy/f2py/__version__.py,34
numpy/f2py/_isocbind.py,2360
numpy/f2py/_src_pyf.py,7664
numpy/f2py/auxfuncs.py,26799
numpy/f2py/capi_maps.py,30607
numpy/f2py/cb_rules.py,25004
numpy/f2py/cfuncs.py,52125
numpy/f2py/common_rules.py,5131
numpy/f2py/crackfortran.py,147984
numpy/f2py/diagnose.py,5197
numpy/f2py/f2py2e.py,28861
numpy/f2py/f90mod_rules.py,9992
numpy/f2py/func2subr.py,10298
numpy/f2py/rules.py,62880
numpy/f2py/setup.cfg,48
numpy/f2py/symbolic.py,53254
numpy/f2py/use_rules.py,3515
numpy/fft/__init__.py,8326
numpy/fft/__init__.pyi,514
numpy/fft/_helper.py,6775
numpy/fft/_helper.pyi,1370
numpy/fft/_pocketfft.py,62692
numpy/fft/_pocketfft.pyi,3155
numpy/fft/_pocketfft_umath.cpp,14912
numpy/fft/helper.py,610
numpy/fft/meson.build,805
numpy/fft/pocketfft,0
numpy/lib/__init__.py,3189
numpy/lib/__init__.pyi,518
numpy/lib/_array_utils_impl.py,1689
numpy/lib/_array_utils_impl.pyi,793
numpy/lib/_arraypad_impl.py,32326
numpy/lib/_arraypad_impl.pyi,1792
numpy/lib/_arraysetops_impl.py,39310
numpy/lib/_arraysetops_impl.pyi,9769
numpy/lib/_arrayterator_impl.py,7156
numpy/lib/_arrayterator_impl.pyi,1604
numpy/lib/_datasource.py,22729
numpy/lib/_function_base_impl.py,193355
numpy/lib/_function_base_impl.pyi,19886
numpy/lib/_histograms_impl.py,38762
numpy/lib/_histograms_impl.pyi,1070
numpy/lib/_index_tricks_impl.py,32221
numpy/lib/_index_tricks_impl.pyi,4340
numpy/lib/_iotools.py,30941
numpy/lib/_nanfunctions_impl.py,72152
numpy/lib/_nanfunctions_impl.pyi,834
numpy/lib/_npyio_impl.py,99255
numpy/lib/_npyio_impl.pyi,11063
numpy/lib/_polynomial_impl.py,44294
numpy/lib/_polynomial_impl.pyi,7117
numpy/lib/_scimath_impl.py,15526
numpy/lib/_scimath_impl.pyi,2955
numpy/lib/_shape_base_impl.py,39353
numpy/lib/_shape_base_impl.pyi,5043
numpy/lib/_stride_tricks_impl.py,18109
numpy/lib/_stride_tricks_impl.pyi,1801
numpy/lib/_twodim_base_impl.py,33968
numpy/lib/_twodim_base_impl.pyi,11124
numpy/lib/_type_check_impl.py,19220
numpy/lib/_type_check_impl.pyi,5391
numpy/lib/_ufunclike_impl.py,6309
numpy/lib/_ufunclike_impl.pyi,1322
numpy/lib/_user_array_impl.py,7890
numpy/lib/_utils_impl.py,23388
numpy/lib/_utils_impl.pyi,641
numpy/lib/_version.py,4824
numpy/lib/_version.pyi,641
numpy/lib/array_utils.py,130
numpy/lib/array_utils.pyi,191
numpy/lib/format.py,36154
numpy/lib/format.pyi,748
numpy/lib/introspect.py,2715
numpy/lib/mixins.py,7337
numpy/lib/mixins.pyi,3131
numpy/lib/npyio.py,62
numpy/lib/npyio.pyi,92
numpy/lib/recfunctions.py,59729
numpy/lib/scimath.py,118
numpy/lib/scimath.pyi,233
numpy/lib/stride_tricks.py,82
numpy/lib/stride_tricks.pyi,124
numpy/lib/user_array.py,49
numpy/linalg/__init__.py,2106
numpy/linalg/__init__.pyi,1005
numpy/linalg/_linalg.py,114581
numpy/linalg/_linalg.pyi,11252
numpy/linalg/lapack_litemodule.c,14649
numpy/linalg/linalg.py,584
numpy/linalg/meson.build,1349
numpy/linalg/umath_linalg.cpp,139576
numpy/ma/API_CHANGES.txt,3405
numpy/ma/LICENSE,1593
numpy/ma/README.rst,9874
numpy/ma/__init__.py,1419
numpy/ma/__init__.pyi,6946
numpy/ma/core.py,289973
numpy/ma/core.pyi,17040
numpy/ma/extras.py,70677
numpy/ma/extras.pyi,3424
numpy/ma/mrecords.py,27177
numpy/ma/mrecords.pyi,1983
numpy/ma/testutils.py,10272
numpy/ma/timer_comparison.py,15694
numpy/matrixlib/__init__.py,242
numpy/matrixlib/__init__.pyi,105
numpy/matrixlib/defmatrix.py,30800
numpy/matrixlib/defmatrix.pyi,488
numpy/polynomial/__init__.py,6760
numpy/polynomial/__init__.pyi,687
numpy/polynomial/_polybase.py,39451
numpy/polynomial/_polybase.pyi,8534
numpy/polynomial/_polytypes.pyi,22567
numpy/polynomial/chebyshev.py,62407
numpy/polynomial/chebyshev.pyi,4725
