path,size,extension
numpy/f2py/__init__.pyi,1092,pyi
numpy/f2py/__main__.py,130,py
numpy/f2py/__version__.py,34,py
numpy/f2py/_isocbind.py,2360,py
numpy/f2py/_src_pyf.py,7664,py
numpy/f2py/auxfuncs.py,26799,py
numpy/f2py/capi_maps.py,30607,py
numpy/f2py/cb_rules.py,25004,py
numpy/f2py/cfuncs.py,52125,py
numpy/f2py/common_rules.py,5131,py
numpy/f2py/crackfortran.py,147984,py
numpy/f2py/diagnose.py,5197,py
numpy/f2py/f2py2e.py,28861,py
numpy/f2py/f90mod_rules.py,9992,py
numpy/f2py/func2subr.py,10298,py
numpy/f2py/rules.py,62880,py
numpy/f2py/setup.cfg,48,cfg
numpy/f2py/symbolic.py,53254,py
numpy/f2py/use_rules.py,3515,py
numpy/fft/__init__.py,8326,py
numpy/fft/__init__.pyi,514,pyi
numpy/fft/_helper.py,6775,py
numpy/fft/_helper.pyi,1370,pyi
numpy/fft/_pocketfft.py,62692,py
numpy/fft/_pocketfft.pyi,3155,pyi
numpy/fft/_pocketfft_umath.cpp,14912,cpp
numpy/fft/helper.py,610,py
numpy/fft/meson.build,805,build
numpy/fft/pocketfft,0,no_extension
numpy/lib/__init__.py,3189,py
numpy/lib/__init__.pyi,518,pyi
numpy/lib/_array_utils_impl.py,1689,py
numpy/lib/_array_utils_impl.pyi,793,pyi
numpy/lib/_arraypad_impl.py,32326,py
numpy/lib/_arraypad_impl.pyi,1792,pyi
numpy/lib/_arraysetops_impl.py,39310,py
numpy/lib/_arraysetops_impl.pyi,9769,pyi
numpy/lib/_arrayterator_impl.py,7156,py
numpy/lib/_arrayterator_impl.pyi,1604,pyi
numpy/lib/_datasource.py,22729,py
numpy/lib/_function_base_impl.py,193355,py
numpy/lib/_function_base_impl.pyi,19886,pyi
numpy/lib/_histograms_impl.py,38762,py
numpy/lib/_histograms_impl.pyi,1070,pyi
numpy/lib/_index_tricks_impl.py,32221,py
numpy/lib/_index_tricks_impl.pyi,4340,pyi
numpy/lib/_iotools.py,30941,py
numpy/lib/_nanfunctions_impl.py,72152,py
numpy/lib/_nanfunctions_impl.pyi,834,pyi
numpy/lib/_npyio_impl.py,99255,py
numpy/lib/_npyio_impl.pyi,11063,pyi
numpy/lib/_polynomial_impl.py,44294,py
numpy/lib/_polynomial_impl.pyi,7117,pyi
numpy/lib/_scimath_impl.py,15526,py
numpy/lib/_scimath_impl.pyi,2955,pyi
numpy/lib/_shape_base_impl.py,39353,py
numpy/lib/_shape_base_impl.pyi,5043,pyi
numpy/lib/_stride_tricks_impl.py,18109,py
numpy/lib/_stride_tricks_impl.pyi,1801,pyi
numpy/lib/_twodim_base_impl.py,33968,py
numpy/lib/_twodim_base_impl.pyi,11124,pyi
numpy/lib/_type_check_impl.py,19220,py
numpy/lib/_type_check_impl.pyi,5391,pyi
numpy/lib/_ufunclike_impl.py,6309,py
numpy/lib/_ufunclike_impl.pyi,1322,pyi
numpy/lib/_user_array_impl.py,7890,py
numpy/lib/_utils_impl.py,23388,py
numpy/lib/_utils_impl.pyi,641,pyi
numpy/lib/_version.py,4824,py
numpy/lib/_version.pyi,641,pyi
numpy/lib/array_utils.py,130,py
numpy/lib/array_utils.pyi,191,pyi
numpy/lib/format.py,36154,py
numpy/lib/format.pyi,748,pyi
numpy/lib/introspect.py,2715,py
numpy/lib/mixins.py,7337,py
numpy/lib/mixins.pyi,3131,pyi
numpy/lib/npyio.py,62,py
numpy/lib/npyio.pyi,92,pyi
numpy/lib/recfunctions.py,59729,py
numpy/lib/scimath.py,118,py
numpy/lib/scimath.pyi,233,pyi
numpy/lib/stride_tricks.py,82,py
numpy/lib/stride_tricks.pyi,124,pyi
numpy/lib/user_array.py,49,py
numpy/linalg/__init__.py,2106,py
numpy/linalg/__init__.pyi,1005,pyi
numpy/linalg/_linalg.py,114581,py
numpy/linalg/_linalg.pyi,11252,pyi
numpy/linalg/lapack_litemodule.c,14649,c
numpy/linalg/linalg.py,584,py
numpy/linalg/meson.build,1349,build
numpy/linalg/umath_linalg.cpp,139576,cpp
numpy/ma/api_changes.txt,3405,txt
numpy/ma/license,1593,no_extension
numpy/ma/readme.rst,9874,rst
numpy/ma/__init__.py,1419,py
numpy/ma/__init__.pyi,6946,pyi
numpy/ma/core.py,289973,py
numpy/ma/core.pyi,17040,pyi
numpy/ma/extras.py,70677,py
numpy/ma/extras.pyi,3424,pyi
numpy/ma/mrecords.py,27177,py
numpy/ma/mrecords.pyi,1983,pyi
numpy/ma/testutils.py,10272,py
numpy/ma/timer_comparison.py,15694,py
numpy/matrixlib/__init__.py,242,py
numpy/matrixlib/__init__.pyi,105,pyi
numpy/matrixlib/defmatrix.py,30800,py
numpy/matrixlib/defmatrix.pyi,488,pyi
numpy/polynomial/__init__.py,6760,py
numpy/polynomial/__init__.pyi,687,pyi
numpy/polynomial/_polybase.py,39451,py
numpy/polynomial/_polybase.pyi,8534,pyi
numpy/polynomial/_polytypes.pyi,22567,pyi
numpy/polynomial/chebyshev.py,62407,py
numpy/polynomial/chebyshev.pyi,4725,pyi
numpy/polynomial/hermite.py,54634,py
numpy/polynomial/hermite.pyi,2445,pyi
numpy/polynomial/hermite_e.py,52384,py
numpy/polynomial/hermite_e.pyi,2537,pyi
numpy/polynomial/laguerre.py,52547,py
numpy/polynomial/laguerre.pyi,2174,pyi
numpy/polynomial/legendre.py,51170,py
numpy/polynomial/legendre.pyi,2173,pyi
numpy/polynomial/polynomial.py,52349,py
numpy/polynomial/polynomial.pyi,2002,pyi
numpy/polynomial/polyutils.py,22530,py
numpy/polynomial/polyutils.pyi,10426,pyi
numpy/random/.gitignore,62,gitignore
numpy/random/license.md,3511,md
numpy/random/__init__.pxd,431,pxd
numpy/random/__init__.py,7506,py
numpy/random/__init__.pyi,2158,pyi
numpy/random/_bounded_integers.pxd.in,841,in
numpy/random/_bounded_integers.pyx.in,16038,in
numpy/random/_common.pxd,4982,pxd
numpy/random/_common.pyx,40058,pyx
numpy/random/_generator.pyi,24683,pyi
numpy/random/_generator.pyx,201009,pyx
numpy/random/_mt19937.pyi,775,pyi
numpy/random/_mt19937.pyx,10641,pyx
numpy/random/_pcg64.pyi,1142,pyi
numpy/random/_pcg64.pyx,18909,pyx
numpy/random/_philox.pyi,1005,pyi
numpy/random/_philox.pyx,12134,pyx
numpy/random/_pickle.py,2743,py
numpy/random/_sfc64.pyi,682,pyi
numpy/random/_sfc64.pyx,5298,pyx
numpy/random/bit_generator.pxd,1007,pxd
