login,commits,percent_contribution
pmvz,3,0.008785030308354563
HabibiHye,3,0.008785030308354563
tech-gian,3,0.008785030308354563
GaelVaroquaux,3,0.008785030308354563
lelayf,3,0.008785030308354563
fhs,3,0.008785030308354563
emilienkofman,3,0.008785030308354563
jud-sdev,3,0.008785030308354563
DCtheTall,3,0.008785030308354563
dimasad,3,0.008785030308354563
prisae,3,0.008785030308354563
derrickaw,3,0.008785030308354563
matoro,3,0.008785030308354563
bwignall,3,0.008785030308354563
behzadnouri,3,0.008785030308354563
nocoding03,3,0.008785030308354563
Ashutosh619-sudo,3,0.008785030308354563
Anner-deJong,3,0.008785030308354563
AngelGris,3,0.008785030308354563
adamjstewart,3,0.008785030308354563
abhinav-thimma,3,0.008785030308354563
DanielHabenicht,3,0.008785030308354563
carterbox,3,0.008785030308354563
DanShatford,3,0.008785030308354563
f380cedric,3,0.008785030308354563
corneliusroemer,3,0.008785030308354563
cjermain,3,0.008785030308354563
cimarronm,3,0.008785030308354563
ChVeen,3,0.008785030308354563
carlkl,3,0.008785030308354563
AhmetCanSolak,3,0.008785030308354563
bmwiedemann,3,0.008785030308354563
